id_event,id_article,article_bias,id_sentence,sentence_text,bias_score
2,12.0,2,t,Trump campaign consultant took data about millions of users without their knowledge,3
2,12.0,2,0,"Facebook's recent suspension of Cambridge Analytica, a data analytics firm that played a key role in President Trump's 2016 campaign, highlights the rapid rise of a company that claimed it had reached new heights in marrying the art of political pers",0
2,12.0,2,1,"Four years after the company began offering Republican political candidates the promise of groundbreaking tools for delivering political messages tailored to the psychological traits of voters, serious questions remain about its tactics and effective",2
2,12.0,2,2,What is clear is that the services Cambridge Analytica offered are increasingly coveted by modern political campaigns.,2
2,12.0,2,3,"Yet Facebook users had few indications of how their personal data was collected, refashioned and deployed on behalf of candidates.",2
2,12.0,2,4,"A Cambridge University professor working for Cambridge Analytica in 2014 created an app, called Thisisyourdigitallife, that offered personality predictions and billed itself on Facebook as ""a research app used by psychologists.""",1
2,12.0,2,5,"The professor, a Russian American named Aleksandr Kogan, used the app to gain access to demographic information - including the names of users, their ""likes,"" friend lists, and other data.",2
2,12.0,2,6,"Once obtained by Cambridge Analytica, political campaigns could use those profiles to target users with highly tailored messages, ads or fundraising requests.",1
2,12.0,2,7,"Facebook said 270,000 people downloaded the app.",1
2,12.0,2,8,"But people familiar with how such systems work - including a former Cambridge Analytica employee - said the app would have given Cambridge access to information on the friends of each of those people, a number that almost certainly reached into the t",2
2,12.0,2,9,"The Observer of London and the New York Times reported Saturday that Cambridge Analytica had gained access to information on 50 million Facebook users, citing internal documents and interviews with former employees and associates.",2
2,12.0,2,10,Facebook declined to confirm or deny this number.,2
2,12.0,2,11,"It issued a statement noting its past actions to limit access to this kind of personal information, which, until changes were made in 2014 and 2015, was routinely available about any users who did not explicitly act to prevent the release of what ""l",2
2,12.0,2,12,"""In 2014, after hearing feedback from the Facebook community, we made an update to ensure that each person decides what information they want to share about themselves, including their friend list,"" the statement said.",2
2,12.0,2,13,"Facebook on Friday banned Kogan, the parent company of Cambridge Analytica and a former Cambridge employee for improperly sharing the data and failing to destroy it after concerns arose about it in 2015.",1
2,12.0,2,14,"Facebook had asked the parties back then to certify they would not abuse data, but it did not take further action beyond that warning.",1
2,12.0,2,15,"Despite Facebook's concerns in 2015, the social network continued to work with Cambridge Analytica.",1
2,12.0,2,16,"During the presidential election, Facebook employees assisting Donald Trump's digital operation worked in the same office as Cambridge Analytica workers, according to a video by the BBC.",1
2,12.0,2,17,"One former Cambridge employee, Joseph Chancellor, continues to work at Facebook as a user-experience researcher, according to Facebook's public website.",2
2,12.0,2,18,Some critics said Facebook's actions on Friday were an insufficient response to a far-reaching data grab that had informed the decision-making of multiple political operations.,1
2,12.0,2,19,Trump's campaign paid Cambridge Analytica at least $6 million for data analysis in the final five months of a close election.,2
2,12.0,3,t,Trump campaign consultant took data about millions of users without their knowledge,2
2,12.0,3,0,"Facebook's recent suspension of Cambridge Analytica, a data analytics firm that played a key role in President Trump's 2016 campaign, highlights the rapid rise of a company that claimed it had reached new heights in marrying the art of political pers",2
2,12.0,3,1,"Four years after the company began offering Republican political candidates the promise of groundbreaking tools for delivering political messages tailored to the psychological traits of voters, serious questions remain about its tactics and effective",2
2,12.0,3,2,What is clear is that the services Cambridge Analytica offered are increasingly coveted by modern political campaigns.,3
2,12.0,3,3,"Yet Facebook users had few indications of how their personal data was collected, refashioned and deployed on behalf of candidates.",2
2,12.0,3,4,"A Cambridge University professor working for Cambridge Analytica in 2014 created an app, called Thisisyourdigitallife, that offered personality predictions and billed itself on Facebook as ""a research app used by psychologists.""",1
2,12.0,3,5,"The professor, a Russian American named Aleksandr Kogan, used the app to gain access to demographic information - including the names of users, their ""likes,"" friend lists, and other data.",2
2,12.0,3,6,"Once obtained by Cambridge Analytica, political campaigns could use those profiles to target users with highly tailored messages, ads or fundraising requests.",2
2,12.0,3,7,"Facebook said 270,000 people downloaded the app.",2
2,12.0,3,8,"But people familiar with how such systems work - including a former Cambridge Analytica employee - said the app would have given Cambridge access to information on the friends of each of those people, a number that almost certainly reached into the t",3
2,12.0,3,9,"The Observer of London and the New York Times reported Saturday that Cambridge Analytica had gained access to information on 50 million Facebook users, citing internal documents and interviews with former employees and associates.",2
2,12.0,3,10,Facebook declined to confirm or deny this number.,2
2,12.0,3,11,"It issued a statement noting its past actions to limit access to this kind of personal information, which, until changes were made in 2014 and 2015, was routinely available about any users who did not explicitly act to prevent the release of what ""l",2
2,12.0,3,12,"""In 2014, after hearing feedback from the Facebook community, we made an update to ensure that each person decides what information they want to share about themselves, including their friend list,"" the statement said.",1
2,12.0,3,13,"Facebook on Friday banned Kogan, the parent company of Cambridge Analytica and a former Cambridge employee for improperly sharing the data and failing to destroy it after concerns arose about it in 2015.",2
2,12.0,3,14,"Facebook had asked the parties back then to certify they would not abuse data, but it did not take further action beyond that warning.",2
2,12.0,3,15,"Despite Facebook's concerns in 2015, the social network continued to work with Cambridge Analytica.",2
2,12.0,3,16,"During the presidential election, Facebook employees assisting Donald Trump's digital operation worked in the same office as Cambridge Analytica workers, according to a video by the BBC.",2
2,12.0,3,17,"One former Cambridge employee, Joseph Chancellor, continues to work at Facebook as a user-experience researcher, according to Facebook's public website.",2
2,12.0,3,18,Some critics said Facebook's actions on Friday were an insufficient response to a far-reaching data grab that had informed the decision-making of multiple political operations.,3
2,12.0,3,19,Trump's campaign paid Cambridge Analytica at least $6 million for data analysis in the final five months of a close election.,2
2,12.0,3,t,Trump campaign consultant took data about millions of users without their knowledge,2
2,12.0,3,0,"Facebook's recent suspension of Cambridge Analytica, a data analytics firm that played a key role in President Trump's 2016 campaign, highlights the rapid rise of a company that claimed it had reached new heights in marrying the art of political pers",2
2,12.0,3,1,"Four years after the company began offering Republican political candidates the promise of groundbreaking tools for delivering political messages tailored to the psychological traits of voters, serious questions remain about its tactics and effective",2
2,12.0,3,2,What is clear is that the services Cambridge Analytica offered are increasingly coveted by modern political campaigns.,1
2,12.0,3,3,"Yet Facebook users had few indications of how their personal data was collected, refashioned and deployed on behalf of candidates.",1
2,12.0,3,4,"A Cambridge University professor working for Cambridge Analytica in 2014 created an app, called Thisisyourdigitallife, that offered personality predictions and billed itself on Facebook as ""a research app used by psychologists.""",1
2,12.0,3,5,"The professor, a Russian American named Aleksandr Kogan, used the app to gain access to demographic information - including the names of users, their ""likes,"" friend lists, and other data.",1
2,12.0,3,6,"Once obtained by Cambridge Analytica, political campaigns could use those profiles to target users with highly tailored messages, ads or fundraising requests.",1
2,12.0,3,7,"Facebook said 270,000 people downloaded the app.",1
2,12.0,3,8,"But people familiar with how such systems work - including a former Cambridge Analytica employee - said the app would have given Cambridge access to information on the friends of each of those people, a number that almost certainly reached into the t",2
2,12.0,3,9,"The Observer of London and the New York Times reported Saturday that Cambridge Analytica had gained access to information on 50 million Facebook users, citing internal documents and interviews with former employees and associates.",2
2,12.0,3,10,Facebook declined to confirm or deny this number.,2
2,12.0,3,11,"It issued a statement noting its past actions to limit access to this kind of personal information, which, until changes were made in 2014 and 2015, was routinely available about any users who did not explicitly act to prevent the release of what ""l",2
2,12.0,3,12,"""In 2014, after hearing feedback from the Facebook community, we made an update to ensure that each person decides what information they want to share about themselves, including their friend list,"" the statement said.",2
2,12.0,3,13,"Facebook on Friday banned Kogan, the parent company of Cambridge Analytica and a former Cambridge employee for improperly sharing the data and failing to destroy it after concerns arose about it in 2015.",2
2,12.0,3,14,"Facebook had asked the parties back then to certify they would not abuse data, but it did not take further action beyond that warning.",2
2,12.0,3,15,"Despite Facebook's concerns in 2015, the social network continued to work with Cambridge Analytica.",2
2,12.0,3,16,"During the presidential election, Facebook employees assisting Donald Trump's digital operation worked in the same office as Cambridge Analytica workers, according to a video by the BBC.",2
2,12.0,3,17,"One former Cambridge employee, Joseph Chancellor, continues to work at Facebook as a user-experience researcher, according to Facebook's public website.",2
2,12.0,3,18,Some critics said Facebook's actions on Friday were an insufficient response to a far-reaching data grab that had informed the decision-making of multiple political operations.,1
2,12.0,3,19,Trump's campaign paid Cambridge Analytica at least $6 million for data analysis in the final five months of a close election.,1
2,12.0,3,t,Trump campaign consultant took data about millions of users without their knowledge,2
2,12.0,3,0,"Facebook's recent suspension of Cambridge Analytica, a data analytics firm that played a key role in President Trump's 2016 campaign, highlights the rapid rise of a company that claimed it had reached new heights in marrying the art of political pers",1
2,12.0,3,1,"Four years after the company began offering Republican political candidates the promise of groundbreaking tools for delivering political messages tailored to the psychological traits of voters, serious questions remain about its tactics and effective",1
2,12.0,3,2,What is clear is that the services Cambridge Analytica offered are increasingly coveted by modern political campaigns.,1
2,12.0,3,3,"Yet Facebook users had few indications of how their personal data was collected, refashioned and deployed on behalf of candidates.",2
2,12.0,3,4,"A Cambridge University professor working for Cambridge Analytica in 2014 created an app, called Thisisyourdigitallife, that offered personality predictions and billed itself on Facebook as ""a research app used by psychologists.""",2
2,12.0,3,5,"The professor, a Russian American named Aleksandr Kogan, used the app to gain access to demographic information - including the names of users, their ""likes,"" friend lists, and other data.",1
2,12.0,3,6,"Once obtained by Cambridge Analytica, political campaigns could use those profiles to target users with highly tailored messages, ads or fundraising requests.",2
