id_event,id_article,article_bias,id_sentence,sentence_text,bias_score
3,24.0,3,t,What President Trump doesn't get about the NFL,0
3,24.0,3,0,"At a political rally for Sen. Luther Strange (R-Ala.), President Trump called on NFL owners to fire players who kneel during the national anthem as a form of protest.",0
3,24.0,3,1,Editor's note: This video contains strong language.,1
3,24.0,3,2,(Reuters),1
3,24.0,3,3,"At a political rally for Sen. Luther Strange (R-Ala.), President Trump called on NFL owners to fire players who kneel during the national anthem as a form of protest.",1
3,24.0,3,4,Editor's note: This video contains strong language.,1
3,24.0,3,5,(Reuters),1
3,24.0,3,6,How the NFL responds to Donald Trump's spit-foaming is hardly a test case for whether the republic will stand.,0
3,24.0,3,7,"Nevertheless, the league is a maker of manners in this country, so it means something that Commissioner Roger Goodell and others are getting it right, striking the perfect calm but resistant tone in response to Trump's gutter-mouthing, a tone that sa",1
3,24.0,3,8,"The NFL, faced with whether to play to the basest instincts of the audience, declined.",1
3,24.0,3,9,It adhered to civility.,1
3,24.0,3,10,"The league is apparently unifying around the notion that, whatever side you may be on in the siege-controversy over NFL players kneeling during the anthem to protest racial injustice, whether you see it as a matter of patriotism, activism or some ta",1
3,24.0,3,11,[Trump turns sports into a political battleground with comments on NFL and Steph Curry],1
3,24.0,3,12,Who knows what Trump's real gripe is with the NFL.,1
3,24.0,3,13,Maybe he's still angry that owners denied him entry to their club years ago.,1
3,24.0,3,14,Or maybe Colin Kaepernick's mute but unrepentant protest really arouses his spittle.,1
3,24.0,3,15,"Or maybe he's just creating an ""Are you not entertained!""",0
3,24.0,3,16,"circus-maximus spectacle by bull-baiting a wealthy league that is easy to resent by cash-strapped, job-insecure fans.",1
3,24.0,3,17,"Regardless, Trump misreads what Americans love about the NFL.",1
3,24.0,3,18,"It's beloved not so much for its violence or crudity, but rather the skill that results in violence averted.",1
3,24.0,3,19,"It's a game, ultimately, of restraint.",1
3,24.0,3,t,What President Trump doesn't get about the NFL,1
3,24.0,3,0,"At a political rally for Sen. Luther Strange (R-Ala.), President Trump called on NFL owners to fire players who kneel during the national anthem as a form of protest.",1
