id_event,id_article,article_bias,id_sentence,sentence_text,bias_score
1,1.0,1,t,Dan Johnson suicide: Lawmaker accused of molesting teen killed himself. His widow calls it a 'high-tech lynching.',0
1,1.0,1,0,LOUISVILLE - Dan Johnson posted a final message on Facebook to his friends and family on Wednesday afternoon.,1
1,1.0,1,1,It appeared to be a goodbye.,1
1,1.0,1,2,"In it, he denied the accusations that had tormented him and his family for the past 48 hours - that he, a Kentucky state representative and the self-proclaimed ""Pope"" of his Louisville church - had gotten drunk and molested a 17-year-old girl during ",0
1,1.0,1,3,"""GOD knows the truth, nothing is the way they make it out to be,"" he wrote in the since-deleted post.",0
1,1.0,1,4,"""I cannot handle it any longer .",0
1,1.0,1,5,"BUT HEAVEN IS MY HOME.""",0
1,1.0,1,6,"Johnson then drove to a graffiti-covered bridge outside of Mount Washington, Ky., a quiet and isolated spot called the River Bottoms.",0
1,1.0,1,7,"He parked, got out of his car, and shot himself with a .40-caliber handgun, according to Bullitt County Sheriff Donnie Tinnell.",0
1,1.0,1,8,"The apparent suicide of a well-known local Republican here was another dark and dramatic turn in the nation's recent reckoning with sexual assault and harassment, with near-daily revelations about powerful men leading to sudden falls from positions o",0
1,1.0,1,9,"Many of those cases have led to denials, resignations, apologies; though Johnson denied the allegations, some believe they pushed him over the edge.",0
1,1.0,1,10,"Johnson's wife, Rebecca, announced Thursday that she plans to replace him in the state legislature.",0
1,1.0,1,11,"She spent the day at a funeral home arranging her husband's service, consoling her relatives and continuing to do what she does best - fighting for her family, said David Adams, a family friend and spokesman.",1
1,1.0,1,12,"""Dan is gone but the story of his life is far from over,"" Rebecca Johnson said through Adams.",0
1,1.0,1,13,"""These high-tech lynchings based on lies and half-truths can't be allowed to win the day.",1
1,1.0,1,14,"I've been fighting behind my husband for 30 years and his fight will go on.""",1
1,1.0,1,15,"Johnson's death shook his family, friends, constituents and members of his church, with Kentucky's political elite immediately expressing their sadness.",0
1,1.0,1,16,Gov.,0
1,1.0,1,17,"Matt Bevin (R) wrote on Twitter: ""My heart breaks for his family   May God indeed shed His grace on us all"" and Sen. Rand Paul (R-Ky.) said in a tweet: ""I cannot imagine his pain or the heartbreak his family is dealing with.""",1
1,1.0,1,18,"[White House urges Roy Moore to concede, as supporters look for evidence of 'voter fraud']",0
1,1.0,1,19,"The tumult began Monday, when the Kentucky Center for Investigative Reporting published allegations that Johnson sexually assaulted his daughter's friend during a sleepover in 2013.",1
1,1.0,3,t,Dan Johnson suicide: Lawmaker accused of molesting teen killed himself. His widow calls it a 'high-tech lynching.',1
1,1.0,3,0,LOUISVILLE - Dan Johnson posted a final message on Facebook to his friends and family on Wednesday afternoon.,0
1,1.0,3,1,It appeared to be a goodbye.,1
1,1.0,3,2,"In it, he denied the accusations that had tormented him and his family for the past 48 hours - that he, a Kentucky state representative and the self-proclaimed ""Pope"" of his Louisville church - had gotten drunk and molested a 17-year-old girl during ",1
1,1.0,3,3,"""GOD knows the truth, nothing is the way they make it out to be,"" he wrote in the since-deleted post.",1
1,1.0,3,4,"""I cannot handle it any longer .",0
1,1.0,3,5,"BUT HEAVEN IS MY HOME.""",1
1,1.0,3,6,"Johnson then drove to a graffiti-covered bridge outside of Mount Washington, Ky., a quiet and isolated spot called the River Bottoms.",1
1,1.0,3,7,"He parked, got out of his car, and shot himself with a .40-caliber handgun, according to Bullitt County Sheriff Donnie Tinnell.",1
1,1.0,3,8,"The apparent suicide of a well-known local Republican here was another dark and dramatic turn in the nation's recent reckoning with sexual assault and harassment, with near-daily revelations about powerful men leading to sudden falls from positions o",1
1,1.0,3,9,"Many of those cases have led to denials, resignations, apologies; though Johnson denied the allegations, some believe they pushed him over the edge.",0
1,1.0,3,10,"Johnson's wife, Rebecca, announced Thursday that she plans to replace him in the state legislature.",1
1,1.0,3,11,"She spent the day at a funeral home arranging her husband's service, consoling her relatives and continuing to do what she does best - fighting for her family, said David Adams, a family friend and spokesman.",1
1,1.0,3,12,"""Dan is gone but the story of his life is far from over,"" Rebecca Johnson said through Adams.",1
1,1.0,3,13,"""These high-tech lynchings based on lies and half-truths can't be allowed to win the day.",1
1,1.0,3,14,"I've been fighting behind my husband for 30 years and his fight will go on.""",1
1,1.0,3,15,"Johnson's death shook his family, friends, constituents and members of his church, with Kentucky's political elite immediately expressing their sadness.",0
1,1.0,3,16,Gov.,1
1,1.0,3,17,"Matt Bevin (R) wrote on Twitter: ""My heart breaks for his family   May God indeed shed His grace on us all"" and Sen. Rand Paul (R-Ky.) said in a tweet: ""I cannot imagine his pain or the heartbreak his family is dealing with.""",1
1,1.0,3,18,"[White House urges Roy Moore to concede, as supporters look for evidence of 'voter fraud']",1
1,1.0,3,19,"The tumult began Monday, when the Kentucky Center for Investigative Reporting published allegations that Johnson sexually assaulted his daughter's friend during a sleepover in 2013.",1
1,1.0,3,t,Dan Johnson suicide: Lawmaker accused of molesting teen killed himself. His widow calls it a 'high-tech lynching.',1
1,1.0,3,0,LOUISVILLE - Dan Johnson posted a final message on Facebook to his friends and family on Wednesday afternoon.,0
1,1.0,3,1,It appeared to be a goodbye.,1
1,1.0,3,2,"In it, he denied the accusations that had tormented him and his family for the past 48 hours - that he, a Kentucky state representative and the self-proclaimed ""Pope"" of his Louisville church - had gotten drunk and molested a 17-year-old girl during ",1
1,1.0,3,3,"""GOD knows the truth, nothing is the way they make it out to be,"" he wrote in the since-deleted post.",1
1,1.0,3,4,"""I cannot handle it any longer .",0
1,1.0,3,5,"BUT HEAVEN IS MY HOME.""",0
1,1.0,3,6,"Johnson then drove to a graffiti-covered bridge outside of Mount Washington, Ky., a quiet and isolated spot called the River Bottoms.",0
1,1.0,3,7,"He parked, got out of his car, and shot himself with a .40-caliber handgun, according to Bullitt County Sheriff Donnie Tinnell.",0
1,1.0,3,8,"The apparent suicide of a well-known local Republican here was another dark and dramatic turn in the nation's recent reckoning with sexual assault and harassment, with near-daily revelations about powerful men leading to sudden falls from positions o",1
1,1.0,3,9,"Many of those cases have led to denials, resignations, apologies; though Johnson denied the allegations, some believe they pushed him over the edge.",1
1,1.0,3,10,"Johnson's wife, Rebecca, announced Thursday that she plans to replace him in the state legislature.",0
1,1.0,3,11,"She spent the day at a funeral home arranging her husband's service, consoling her relatives and continuing to do what she does best - fighting for her family, said David Adams, a family friend and spokesman.",0
1,1.0,3,12,"""Dan is gone but the story of his life is far from over,"" Rebecca Johnson said through Adams.",0
1,1.0,3,13,"""These high-tech lynchings based on lies and half-truths can't be allowed to win the day.",1
1,1.0,3,14,"I've been fighting behind my husband for 30 years and his fight will go on.""",1
1,1.0,3,15,"Johnson's death shook his family, friends, constituents and members of his church, with Kentucky's political elite immediately expressing their sadness.",1
1,1.0,3,16,Gov.,0
1,1.0,3,17,"Matt Bevin (R) wrote on Twitter: ""My heart breaks for his family   May God indeed shed His grace on us all"" and Sen. Rand Paul (R-Ky.) said in a tweet: ""I cannot imagine his pain or the heartbreak his family is dealing with.""",0
1,1.0,3,18,"[White House urges Roy Moore to concede, as supporters look for evidence of 'voter fraud']",1
1,1.0,3,19,"The tumult began Monday, when the Kentucky Center for Investigative Reporting published allegations that Johnson sexually assaulted his daughter's friend during a sleepover in 2013.",1
1,1.0,3,t,Dan Johnson suicide: Lawmaker accused of molesting teen killed himself. His widow calls it a 'high-tech lynching.',1
1,1.0,3,0,LOUISVILLE - Dan Johnson posted a final message on Facebook to his friends and family on Wednesday afternoon.,0
1,1.0,3,1,It appeared to be a goodbye.,0
1,1.0,3,2,"In it, he denied the accusations that had tormented him and his family for the past 48 hours - that he, a Kentucky state representative and the self-proclaimed ""Pope"" of his Louisville church - had gotten drunk and molested a 17-year-old girl during ",1
1,1.0,3,3,"""GOD knows the truth, nothing is the way they make it out to be,"" he wrote in the since-deleted post.",0
1,1.0,3,4,"""I cannot handle it any longer .",0
1,1.0,3,5,"BUT HEAVEN IS MY HOME.""",0
1,1.0,3,6,"Johnson then drove to a graffiti-covered bridge outside of Mount Washington, Ky., a quiet and isolated spot called the River Bottoms.",0
1,1.0,3,7,"He parked, got out of his car, and shot himself with a .40-caliber handgun, according to Bullitt County Sheriff Donnie Tinnell.",0
1,1.0,3,8,"The apparent suicide of a well-known local Republican here was another dark and dramatic turn in the nation's recent reckoning with sexual assault and harassment, with near-daily revelations about powerful men leading to sudden falls from positions o",1
1,1.0,3,9,"Many of those cases have led to denials, resignations, apologies; though Johnson denied the allegations, some believe they pushed him over the edge.",0
1,1.0,3,10,"Johnson's wife, Rebecca, announced Thursday that she plans to replace him in the state legislature.",0
1,1.0,3,11,"She spent the day at a funeral home arranging her husband's service, consoling her relatives and continuing to do what she does best - fighting for her family, said David Adams, a family friend and spokesman.",0
1,1.0,3,12,"""Dan is gone but the story of his life is far from over,"" Rebecca Johnson said through Adams.",0
1,1.0,3,13,"""These high-tech lynchings based on lies and half-truths can't be allowed to win the day.",0
1,1.0,3,14,"I've been fighting behind my husband for 30 years and his fight will go on.""",0
1,1.0,3,15,"Johnson's death shook his family, friends, constituents and members of his church, with Kentucky's political elite immediately expressing their sadness.",1
1,1.0,3,16,Gov.,0
1,1.0,3,17,"Matt Bevin (R) wrote on Twitter: ""My heart breaks for his family   May God indeed shed His grace on us all"" and Sen. Rand Paul (R-Ky.) said in a tweet: ""I cannot imagine his pain or the heartbreak his family is dealing with.""",0
1,1.0,3,18,"[White House urges Roy Moore to concede, as supporters look for evidence of 'voter fraud']",0
1,1.0,3,19,"The tumult began Monday, when the Kentucky Center for Investigative Reporting published allegations that Johnson sexually assaulted his daughter's friend during a sleepover in 2013.",1
1,2.0,4,t,Kentucky lawmaker Dan Johnson killed himself after sexual assault allegations,0
1,2.0,4,0,"(CNN) A Kentucky lawmaker accused of sexually assaulting a teenage girl in 2013 killed himself Wednesday, officials say, a day after he denied the allegations.",0
1,2.0,4,1,"Republican state Rep. Dan Johnson was found dead of a single gunshot wound near Mount Washington, Bullitt County Coroner Dave Billings said.",0
1,2.0,4,2,"Johnson drove onto a bridge in a rural area southeast of Louisville, parked and shot himself in front of his car, Sheriff Donnie Tinnell told CNN affiliate WDRB",0
1,2.0,4,3,"Billings ruled Johnson's death a suicide on Thursday after an autopsy, Deputy Coroner Clayton Brunson said.",0
1,2.0,4,4,"Shortly before his death, Johnson posted a rambling message on social media, denying the sexual assault allegations and urging his family to stay strong for his wife.",0
1,2.0,4,5,"Relatives became concerned after seeing the post and reached out to law enforcement, who pinged Johnson's phone and later discovered his body, according to Billings.",0
