id_event,id_article,article_bias,id_sentence,sentence_text,bias_score
4,36.0,2,t,"Tillerson Makes A N. Korea Overture, But It Highlights His Credibility Problem",0
4,36.0,2,0,"Tillerson Makes A N. Korea Overture, But It Highlights His Credibility Problem",0
4,36.0,2,1,Secretary of State Rex Tillerson is ready to talk about talking to North Korea.,0
4,36.0,2,2,"""We're ready to talk anytime North Korea would like to talk.",0
4,36.0,2,3,"And we're ready to have the first meeting without precondition,"" he said, in remarks Tuesday at the Atlantic Council, a think tank in Washington, D.C.",0
4,36.0,2,4,"It sounds like a chance for a diplomatic resolution to the dangerous nuclear crisis with North Korea, which has gotten tenser in recent months after North Korea's sixth nuclear test and two successful launches of intercontinental ballistic missiles.",0
4,36.0,2,5,"Throughout 2017, incendiary threats and name-calling have flown from the U.S. and Pyongyang, the North Korean capital, and the U.S. policy of ""maximum pressure"" has led to increasing sanctions to starve North Korea of resources.",0
4,36.0,2,6,"Now, the secretary of state is saying the U.S. wants to sit down with North Korean leaders.",0
4,36.0,2,7,"""We can talk about the weather if you want,"" Tillerson said, in his overture to North Korea.",0
4,36.0,2,8,"""We can talk about whether it's going to be a square table or a round table if that's what you're excited about.",0
4,36.0,2,9,But can we at least sit down and see each other face to face?,0
4,36.0,2,10,"And then we can begin to lay out a map, a road map of what we might be willing to work towards.",0
4,36.0,2,11,"I don't think - it's not realistic to say we're only going to talk if you come to the table ready to give up your program.""",0
4,36.0,2,12,Some North Korea security watchers - like Van Jackson - are skeptical.,0
4,36.0,2,13,"""I just sort of rolled my eyes,"" said Jackson, a former Asia specialist for the Defense Department who is now at New Zealand's Victoria University of Wellington.",0
4,36.0,2,14,"He says this is just posturing from Tillerson because the U.S. can't effectively say it wants to talk when its goal is complete, verifiable denuclearization by North Korea.",0
4,36.0,2,15,"For Pyongyang, giving up its nuclear program is a non-starter.",0
4,36.0,2,16,"""We know that North Korea is not going to go there.",0
4,36.0,2,17,"So if you want to actually negotiate something, you can't have an unrealistic goal,"" Jackson says.",0
4,36.0,2,18,"In Seoul, James Kim of the policy think tank the Asan Institute says the significance of this depends on North Korea's response to Tillerson.",0
4,36.0,2,19,"""It really depends whether North Korea stops testing and comes to the bargaining table to talk, or they continue to test and [show they're] not going to engage in any talks at this time,"" Kim says.",0
4,36.0,1,t,"Tillerson Makes A N. Korea Overture, But It Highlights His Credibility Problem",0
4,36.0,1,0,"Tillerson Makes A N. Korea Overture, But It Highlights His Credibility Problem",0
4,36.0,1,1,Secretary of State Rex Tillerson is ready to talk about talking to North Korea.,0
4,36.0,1,2,"""We're ready to talk anytime North Korea would like to talk.",0
4,36.0,1,3,"And we're ready to have the first meeting without precondition,"" he said, in remarks Tuesday at the Atlantic Council, a think tank in Washington, D.C.",0
4,36.0,1,4,"It sounds like a chance for a diplomatic resolution to the dangerous nuclear crisis with North Korea, which has gotten tenser in recent months after North Korea's sixth nuclear test and two successful launches of intercontinental ballistic missiles.",0
4,36.0,1,5,"Throughout 2017, incendiary threats and name-calling have flown from the U.S. and Pyongyang, the North Korean capital, and the U.S. policy of ""maximum pressure"" has led to increasing sanctions to starve North Korea of resources.",0
4,36.0,1,6,"Now, the secretary of state is saying the U.S. wants to sit down with North Korean leaders.",0
4,36.0,1,7,"""We can talk about the weather if you want,"" Tillerson said, in his overture to North Korea.",0
4,36.0,1,8,"""We can talk about whether it's going to be a square table or a round table if that's what you're excited about.",0
4,36.0,1,9,But can we at least sit down and see each other face to face?,0
4,36.0,1,10,"And then we can begin to lay out a map, a road map of what we might be willing to work towards.",0
4,36.0,1,11,"I don't think - it's not realistic to say we're only going to talk if you come to the table ready to give up your program.""",0
4,36.0,1,12,Some North Korea security watchers - like Van Jackson - are skeptical.,0
4,36.0,1,13,"""I just sort of rolled my eyes,"" said Jackson, a former Asia specialist for the Defense Department who is now at New Zealand's Victoria University of Wellington.",0
4,36.0,1,14,"He says this is just posturing from Tillerson because the U.S. can't effectively say it wants to talk when its goal is complete, verifiable denuclearization by North Korea.",0
4,36.0,1,15,"For Pyongyang, giving up its nuclear program is a non-starter.",0
4,36.0,1,16,"""We know that North Korea is not going to go there.",0
4,36.0,1,17,"So if you want to actually negotiate something, you can't have an unrealistic goal,"" Jackson says.",0
4,36.0,1,18,"In Seoul, James Kim of the policy think tank the Asan Institute says the significance of this depends on North Korea's response to Tillerson.",0
4,36.0,1,19,"""It really depends whether North Korea stops testing and comes to the bargaining table to talk, or they continue to test and [show they're] not going to engage in any talks at this time,"" Kim says.",0
4,36.0,3,t,"Tillerson Makes A N. Korea Overture, But It Highlights His Credibility Problem",0
4,36.0,3,0,"Tillerson Makes A N. Korea Overture, But It Highlights His Credibility Problem",0
4,36.0,3,1,Secretary of State Rex Tillerson is ready to talk about talking to North Korea.,0
4,36.0,3,2,"""We're ready to talk anytime North Korea would like to talk.",1
4,36.0,3,3,"And we're ready to have the first meeting without precondition,"" he said, in remarks Tuesday at the Atlantic Council, a think tank in Washington, D.C.",1
4,36.0,3,4,"It sounds like a chance for a diplomatic resolution to the dangerous nuclear crisis with North Korea, which has gotten tenser in recent months after North Korea's sixth nuclear test and two successful launches of intercontinental ballistic missiles.",1
4,36.0,3,5,"Throughout 2017, incendiary threats and name-calling have flown from the U.S. and Pyongyang, the North Korean capital, and the U.S. policy of ""maximum pressure"" has led to increasing sanctions to starve North Korea of resources.",1
4,36.0,3,6,"Now, the secretary of state is saying the U.S. wants to sit down with North Korean leaders.",0
4,36.0,3,7,"""We can talk about the weather if you want,"" Tillerson said, in his overture to North Korea.",1
4,36.0,3,8,"""We can talk about whether it's going to be a square table or a round table if that's what you're excited about.",1
4,36.0,3,9,But can we at least sit down and see each other face to face?,0
4,36.0,3,10,"And then we can begin to lay out a map, a road map of what we might be willing to work towards.",0
4,36.0,3,11,"I don't think - it's not realistic to say we're only going to talk if you come to the table ready to give up your program.""",1
4,36.0,3,12,Some North Korea security watchers - like Van Jackson - are skeptical.,1
